Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
1,1,1,0,0,180,30,1,2,1,10330
1,1,2,0,0,144,30,1,2,1,6216
1,1,0,0,0,120,30,1,2,1,6296
1,1,4,0,0,99,30,1,2,1,3029
1,0,0,1,1,165,0,0,0,0,6058
1,0,1,1,1,146.41216216216,30,0,0,0,4945
0,0,0,1,1,116,30,0,1,0,4166
1,0,0,1,1,258,30,0,1,0,10321
0,0,0,1,1,126,0,0,2,0,5454
1,1,1,0,0,312,30,1,2,1,10750
1,1,4,0,0,125,5,1,2,1,7100
0,0,0,1,1,136,30,0,1,0,4300
1,1,0,0,0,172,30,1,2,1,6274
1,1,2,0,0,97,30,1,1,1,3750
0,1,0,0,0,81,25,1,1,1,3500
1,0,4,1,1,95,28.5,0,1,0,4755
1,1,4,0,0,187,30,1,1,1,7040
0,0,0,1,1,113,40,0,2,0,3750
0,0,0,1,1,176,30,0,2,0,8500
1,0,1,1,1,110,30,0,2,0,4022
1,0,4,1,1,180,25,0,1,0,7167
1,1,4,0,0,130,30,1,1,1,5499
0,1,0,0,0,111,30,1,1,1,3846
1,1,1,0,0,146.41216216216,30,1,1,1,2395
1,0,2,1,1,167,30,0,2,0,3259
1,0,0,1,1,265,30,0,1,0,8250
1,1,1,0,0,50,20,1,2,1,3988
0,1,0,0,0,136,30,1,1,1,4897
1,1,2,0,0,99,30,1,1,1,5333
1,1,0,0,0,104,30,1,1,1,4618
0,1,0,0,0,210,30,1,2,1,8566
1,1,0,0,0,175,30,1,1,1,9862
1,1,0,0,0,131,30,1,1,1,5858
1,1,2,0,0,188,0,1,1,1,11904
1,1,2,0,0,81,30,1,2,1,5093
0,1,0,0,0,122,30,1,1,1,4133
0,1,0,0,0,25,10,1,1,1,3620
0,0,0,1,1,146.41216216216,30,0,2,0,6782
1,1,0,0,0,137,30,1,1,1,4786
1,1,0,0,0,50,30,1,1,1,2974
1,1,0,0,0,115,0,1,1,1,4188
1,1,0,0,0,131,30,1,1,1,5300
10,0,133,1,1,2,1,0,,,
0,1,0,0,0,151,30,1,1,1,8649
1,1,0,0,0,146.41216216216,30,1,2,1,13650
1,1,0,0,0,146.41216216216,30,1,1,1,8235
1,1,0,0,0,160,30,1,2,1,4570
1,1,1,0,0,100,30,1,2,1,4082
1,1,2,0,0,225,30,1,2,1,12543
0,0,0,1,1,120,30,0,0,0,7333
1,0,2,1,1,216,30,0,2,0,7400
1,1,4,0,0,94,40,1,1,1,2825
0,1,0,0,0,136,30,1,2,1,5316
1,1,0,0,0,139,30,1,1,1,5262
1,0,0,1,1,152,28.5,0,0,0,7686
0,1,1,0,0,146.41216216216,30,1,1,1,7451
0,1,0,0,0,118,30,1,1,1,5050
1,1,1,0,0,185,0,1,0,1,14583
1,1,0,0,0,154,30,1,1,1,5450
1,1,1,0,0,85,30,1,2,1,3612
1,0,0,1,1,175,30,0,0,0,7710
0,1,0,0,0,259,30,1,2,1,10408
1,1,0,0,0,180,30,1,0,1,8334
0,1,0,0,0,44,30,1,1,1,4166
0,1,0,0,0,137,30,1,1,1,11117
1,1,2,0,0,81,30,1,1,1,2957
1,1,0,0,0,194,30,1,0,1,6314
0,1,0,0,0,93,30,1,0,1,3692
0,1,0,0,0,146.41216216216,30,1,0,1,5505
1,0,1,1,1,160,0,0,2,0,14363
1,0,0,1,1,182,30,0,0,0,8649
0,1,0,0,0,650,40,1,2,1,20166
0,1,0,0,0,74,30,1,2,1,3943
0,1,0,0,0,70,30,1,1,1,2718
1,1,0,0,0,25,10,1,1,1,3459
0,1,0,0,0,102,30,1,1,1,4895
1,0,4,1,1,290,30,0,1,0,11750
1,0,0,1,1,84,30,0,0,0,4583
1,1,2,0,0,88,30,1,2,1,6816
0,0,0,1,1,242,30,0,1,0,14999
1,0,2,1,1,129,30,0,0,0,5630
1,0,2,1,1,185,30,0,0,0,7125
0,1,0,0,0,168,30,1,2,1,5417
0,1,0,0,0,175,0,1,1,1,6950
1,1,0,0,0,122,30,1,1,1,4732
1,1,2,0,0,187,0,1,2,1,11757
1,1,0,0,0,100,30,1,1,1,6816
1,1,2,0,0,70,30,1,2,1,14866
1,1,1,0,0,30,30,1,2,1,2963
0,0,0,1,1,225,30,0,0,0,11666
1,1,0,0,0,125,30,1,1,1,5690
0,0,0,1,1,118,30,0,0,0,6277
1,1,0,0,0,152,30,1,0,1,6327
0,0,0,1,1,244,30,0,2,0,9166
1,0,2,1,1,113,30,0,0,0,2281
0,1,0,0,0,50,30,1,2,1,3254
1,1,4,0,0,600,0,1,1,1,39999
1,1,1,0,0,160,30,1,0,1,6000
1,1,1,0,0,187,30,1,2,1,9538
0,1,0,0,0,120,30,1,0,1,5063
1,1,0,0,0,255,30,1,1,1,10208
1,1,0,0,0,98,30,1,1,1,2904
1,0,0,1,1,275,30,0,2,0,7933
1,0,1,1,1,121,30,0,1,0,4369
1,1,2,0,0,158,30,1,0,1,5614
1,1,0,0,0,75,0,1,2,1,9323
1,1,0,0,0,182,28.5,1,0,1,6873
1,0,0,1,1,112,30,0,0,0,4583
1,1,0,0,0,129,30,1,0,1,5772
0,0,0,1,1,63,40,0,1,0,2237
1,1,2,0,0,200,30,1,1,1,8000
1,1,0,0,0,95,30,1,0,1,3589
1,0,4,1,1,81,0,0,0,0,3522
1,1,0,0,0,187,30,1,1,1,11333
1,0,0,1,1,87,30,0,1,0,5080
1,1,0,0,0,116,30,1,0,1,5461
1,1,2,0,0,101,30,1,0,1,3664
1,0,4,1,1,495,30,0,1,0,16816
1,1,1,0,0,116,30,1,1,1,3750
0,0,0,1,1,102,40,0,2,0,3784
1,0,1,1,1,180,30,0,2,0,13650
0,0,0,1,1,67,30,0,0,0,6979
1,1,0,0,0,73,0,1,1,1,4600
1,0,1,1,1,260,30,0,1,0,33846
1,1,0,0,0,108,30,1,1,1,3625
1,1,0,0,0,120,30,1,1,1,43897
1,0,1,1,1,66,25,0,0,0,2178
1,1,0,0,0,58,30,1,0,1,4521
1,1,0,0,0,188,0,1,0,1,9328
0,1,0,0,0,48,30,1,0,1,4885
0,0,0,1,1,164,30,0,1,0,12000
1,0,0,1,1,160,30,0,2,0,6033
0,1,0,0,0,76,30,1,1,1,3858
0,1,0,0,0,120,30,1,0,1,4191
1,0,1,1,1,170,30,0,1,0,5708
0,1,0,0,0,187,30,1,0,1,12083
0,1,0,0,0,120,28.5,1,2,1,4272
1,1,0,0,0,113,30,1,1,1,6232
0,0,0,1,1,83,30,0,2,0,11000
1,1,1,0,0,90,30,1,1,1,5100
0,1,2,0,0,166,30,1,1,1,4923
1,0,4,1,1,146.41216216216,0,0,2,0,3992
1,1,1,0,0,135,30,1,2,1,4583
1,1,2,0,0,124,30,1,1,1,3917
0,1,0,0,0,120,30,1,1,1,4408
0,1,0,0,0,80,30,1,2,1,3244
0,1,0,0,0,55,30,1,0,1,6506
0,1,0,0,0,59,30,1,2,1,2479
0,0,0,1,1,127,30,0,1,0,3418
0,0,0,1,1,214,30,0,1,0,10000
1,0,4,1,1,128,30,0,1,0,4680
1,1,1,0,0,240,30,1,2,1,7787
1,1,4,0,0,130,30,1,0,1,5703
1,1,0,0,0,137,30,1,2,1,6194
1,1,4,0,0,100,30,1,1,1,4833
1,0,0,1,1,135,30,0,0,0,1950
1,1,0,0,0,131,30,1,1,1,5502
1,0,2,1,1,72,30,0,1,0,5000
1,1,2,0,0,127,30,1,1,1,6666
1,0,0,1,1,60,30,0,2,0,2221
1,1,2,0,0,116,30,1,1,1,5726
0,1,0,0,0,144,30,1,1,1,5762
1,1,0,0,0,175,28.5,1,1,1,8588
1,1,0,0,0,128,30,1,1,1,6250
1,0,0,1,1,170,30,0,0,0,3250
1,0,0,1,1,138,30,0,2,0,4735
1,1,2,0,0,210,30,1,1,1,7945
1,1,0,0,0,158,40,1,1,1,4758
0,1,0,0,0,200,30,1,0,1,6400
1,1,1,0,0,104,30,1,1,1,4545
1,1,0,0,0,42,0,1,0,1,3716
0,1,0,0,0,120,28.5,1,0,1,5787
0,1,0,0,0,280,30,1,1,1,8333
1,1,1,0,0,140,30,1,1,1,4934
1,1,1,0,0,170,30,1,0,1,6760
1,0,0,1,1,255,30,0,2,0,5746
0,1,0,0,0,122,30,1,2,1,3463
0,1,1,0,0,112,30,1,0,1,3812
1,1,1,0,0,96,30,1,1,1,3315
1,1,2,0,0,120,30,1,0,1,10819
1,0,1,1,1,140,0,0,2,0,4493
0,1,0,0,0,155,5,1,2,1,8666
1,1,2,0,0,108,30,1,0,1,7550
1,1,0,0,0,123,30,1,1,1,7823
0,0,0,1,1,120,0,0,2,0,10383
1,1,2,0,0,112,30,1,2,1,9703
1,1,1,0,0,137,0,1,2,1,6608
1,1,1,0,0,123,40,1,1,1,4725
1,1,0,0,0,90,30,1,2,1,3677
1,0,0,1,1,201,30,0,1,0,5558
0,0,2,1,1,138,30,0,2,0,3427
0,1,0,0,0,104,30,1,0,1,4750
1,1,1,0,0,279,0,1,1,1,9762
0,0,0,1,1,192,30,0,2,0,16250
0,1,4,0,0,255,30,1,0,1,3083
0,0,0,1,1,115,30,0,0,0,6045
1,0,4,1,1,94,30,0,2,0,5250
1,0,0,1,1,304,30,0,0,0,16783
1,0,4,1,1,128,30,0,1,0,4931
1,1,1,0,0,330,30,1,2,1,10333
0,1,0,0,0,134,30,1,1,1,4269
0,0,1,1,1,155,3,0,1,0,3481
0,1,0,0,0,120,30,1,0,1,7200
0,1,0,0,0,128,30,1,1,1,5166
0,1,0,0,0,151,30,1,0,1,7542
1,1,2,0,0,150,30,1,1,1,6095
1,1,4,0,0,160,30,1,2,1,6144
0,0,0,1,1,135,30,0,0,0,3418
0,1,1,0,0,90,30,1,2,1,4436
0,1,0,0,0,30,30,1,2,1,3237
1,1,0,0,0,136,30,1,2,1,11146
0,1,0,0,0,126,30,1,0,1,4690
1,1,0,0,0,150,30,1,1,1,4843
1,1,2,0,0,90,30,1,1,1,3900
1,1,1,0,0,115,30,1,1,1,4592
1,1,0,0,0,207,30,1,1,1,7267
1,1,0,0,0,80,30,1,2,1,4403
1,1,0,0,0,436,30,1,1,1,14583
1,1,0,0,0,124,30,1,0,1,4100
0,0,1,1,1,158,30,0,2,0,6479
1,1,0,0,0,112,30,1,1,1,4727
1,1,2,0,0,78,0,1,2,1,3286.7999878
0,1,0,0,0,54,30,1,2,1,3477
1,0,0,1,1,146.41216216216,30,0,0,0,20667
0,1,0,0,0,89,30,1,0,1,6211
0,0,0,1,1,99,25,0,1,0,4317
1,1,0,0,0,120,30,1,0,1,5704
0,1,0,0,0,115,30,1,1,1,4124
0,1,0,0,0,187,30,1,0,1,9508
1,1,0,0,0,139,30,1,0,1,5491
1,0,2,1,1,127,30,0,1,0,4400
1,1,2,0,0,134,30,1,2,1,4713
0,0,0,1,1,143,40,0,2,0,5417
1,1,0,0,0,172,30,1,1,1,5717
1,1,4,0,0,110,30,1,2,1,5666
1,1,1,0,0,200,30,1,1,1,6875
1,1,1,0,0,135,30,1,2,1,4666
0,0,0,1,1,151,40,0,0,0,7541
1,0,1,1,1,113,30,0,2,0,4939
1,0,0,1,1,93,30,0,2,0,4734
1,1,0,0,0,105,30,1,1,1,4625
0,1,0,0,0,132,30,1,0,1,5000
1,1,1,0,0,96,30,1,2,1,3428
0,1,0,0,0,140,30,1,0,1,6500
0,0,0,1,1,146.41216216216,30,0,2,0,2000
0,1,0,0,0,135,30,1,0,1,5428
0,0,0,1,1,104,30,0,2,0,4263
0,0,0,1,1,480,30,0,0,0,20233
1,1,2,0,0,185,30,1,0,1,7667
0,1,0,0,0,84,30,1,1,1,2917
0,1,0,0,0,111,30,1,1,1,5332
0,1,0,0,0,56,30,1,0,1,2507
1,1,2,0,0,144,7,1,0,1,5746
1,1,1,0,0,111,0,1,2,1,5039
1,1,2,0,0,120,30,1,1,1,3717
1,1,0,0,0,88,30,1,2,1,4192
0,1,1,0,0,112,30,1,1,1,3541
1,0,1,1,1,155,30,0,0,0,10000
1,1,0,0,0,115,30,1,1,1,4567
1,1,4,0,0,124,30,1,1,1,4531
1,1,2,0,0,146.41216216216,30,1,0,1,5191
0,1,0,0,0,132,30,1,0,1,6151
1,1,4,0,0,300,30,1,0,1,15000
1,0,1,1,1,376,30,0,0,0,13649
0,1,0,0,0,130,30,1,0,1,4917
1,1,0,0,0,184,30,1,1,1,7978
1,0,0,1,1,110,30,0,2,0,6784
0,1,0,0,0,67,30,1,2,1,2500
0,1,1,0,0,117,30,1,2,1,6177
0,1,0,0,0,98,30,1,1,1,2935
0,1,0,0,0,71,30,1,2,1,2833
1,1,0,0,0,490,0,1,2,1,63337
1,1,0,0,0,70,28.5,1,1,1,9993
1,1,1,0,0,160,30,1,0,1,5938
1,1,2,0,0,176,30,1,0,1,7100
0,0,4,1,1,146.41216216216,30,0,2,0,1830
0,1,0,0,0,71,30,1,1,1,4160
1,0,4,1,1,173,30,0,0,0,4234
0,0,0,1,1,46,30,0,0,0,2378
1,1,1,0,0,158,30,1,2,1,5783
1,1,4,0,0,74,30,1,1,1,3173
1,1,2,0,0,125,30,1,0,1,4913
1,1,0,0,0,160,30,1,1,1,4957
1,0,0,1,1,152,30,0,0,0,6753
1,1,2,0,0,126,30,1,2,1,5251
1,1,0,0,0,259,30,1,1,1,10916
1,1,0,0,0,187,30,1,0,1,8875
1,1,0,0,0,228,30,1,1,1,9083
0,0,0,1,1,308,30,0,0,0,12917
1,1,4,0,0,95,30,1,0,1,4749
1,0,0,1,1,105,30,0,0,0,5500
1,1,0,0,0,130,30,1,1,1,2928
0,1,0,0,0,116,0,1,2,1,3813
1,1,2,0,0,165,30,1,0,1,11500
1,0,1,1,1,67,30,0,2,0,3875
1,0,0,1,1,100,40,0,2,0,4666
1,1,4,0,0,200,30,1,1,1,8334
0,0,1,1,1,81,30,0,1,0,4723
1,1,2,0,0,236,30,1,1,1,8667
1,1,0,0,0,130,30,1,2,1,7083
1,1,0,0,0,95,25,1,2,1,6046
0,1,0,0,0,141,30,1,0,1,6822
0,0,0,1,1,133,30,0,0,0,6216
0,0,0,1,1,96,40,0,1,0,2500
0,0,0,1,1,124,28.5,0,0,0,5124
1,1,1,0,0,175,30,1,1,1,6325
1,0,0,1,1,570,30,0,0,0,24996
0,1,0,0,0,55,30,1,1,1,15759
1,1,2,0,0,155,30,1,1,1,5185
1,1,2,0,0,380,25,1,0,1,17196
0,0,1,1,1,111,0,0,2,0,5049
0,1,0,0,0,110,30,1,2,1,4223
1,1,0,0,0,120,0,1,2,1,5740
1,1,4,0,0,130,30,1,0,1,13746
1,1,0,0,0,130,30,1,1,1,4310
0,0,0,1,1,71,40,0,2,0,3069
1,1,2,0,0,130,30,1,2,1,5391
1,1,0,0,0,128,30,1,1,1,5833
0,1,0,0,0,296,30,1,1,1,10173
0,1,0,0,0,156,30,1,2,1,6000
0,1,0,0,0,128,30,1,2,1,7167
1,0,2,1,1,100,30,0,2,0,4566
0,1,1,0,0,113,0,1,2,1,3667
0,1,0,0,0,132,30,1,1,1,3946
1,0,0,1,1,146.41216216216,30,0,2,0,6146
1,1,0,0,0,136,30,1,2,1,4750
1,1,0,0,0,125,30,1,0,1,5488
0,1,4,0,0,185,30,1,0,1,9167
1,1,4,0,0,275,30,1,0,1,9504
1,1,0,0,0,120,30,1,2,1,4698
1,1,2,0,0,113,0,1,1,1,3618
1,1,2,0,0,113,30,1,2,1,4500
1,1,2,0,0,135,30,1,1,1,3760
0,0,0,1,1,71,30,0,2,0,3180
1,1,0,0,0,95,30,1,2,1,4492
0,1,0,0,0,109,30,1,0,1,5568
0,0,0,1,1,103,30,0,1,0,3300
1,0,2,1,1,45,0,0,2,0,2889
0,0,0,1,1,65,25,0,0,0,2755
0,1,0,0,0,103,30,1,1,1,22500
0,1,0,0,0,53,30,1,1,1,1963
0,0,0,1,1,194,30,0,0,0,7441
0,1,0,0,0,115,30,1,1,1,4547
1,1,0,0,0,115,30,1,2,1,4567
0,1,0,0,0,66,30,1,0,1,2213
1,0,1,1,1,152,25,0,1,0,8300
1,0,4,1,1,360,30,0,0,0,81000
0,0,1,1,1,62,30,0,1,0,3867
1,1,0,0,0,160,30,1,2,1,6256
1,0,0,1,1,218,30,0,0,0,6096
1,1,0,0,0,110,30,1,0,1,4286
1,0,0,1,1,178,30,0,1,0,5386
0,1,0,0,0,60,30,1,2,1,2995
0,0,1,1,1,160,30,0,2,0,2600
1,0,2,1,1,239,30,0,2,0,21600
1,1,0,0,0,112,30,1,0,1,3798
1,1,0,0,0,138,30,1,1,1,4663
1,1,0,0,0,138,30,1,0,1,5829
0,0,0,1,1,80,28.5,0,2,0,2720
1,1,0,0,0,100,30,1,2,1,3539
1,0,1,1,1,110,28.5,0,2,0,8917
1,1,0,0,0,96,30,1,1,1,14880
1,1,0,0,0,121,30,1,0,1,6966
0,0,1,1,1,81,30,0,0,0,4606
1,1,2,0,0,133,30,1,1,1,5935
1,1,0,0,0,87,30,1,0,1,2936.12000084
0,1,0,0,0,60,0,1,2,1,2717
0,1,1,0,0,150,30,1,1,1,8624
0,0,0,1,1,105,30,0,0,0,6500
0,1,0,0,0,405,30,1,1,1,12876
1,1,0,0,0,143,30,1,1,1,4765
0,1,0,0,0,100,30,1,2,1,3750
1,1,0,0,0,146.41216216216,20,1,1,1,10047
0,1,0,0,0,50,30,1,1,1,3777
1,1,0,0,0,146.41216216216,30,1,2,1,3338
0,0,0,1,1,187,30,0,2,0,10416
1,1,0,0,0,138,30,1,0,1,7142
0,1,0,0,0,187,30,1,1,1,8724
1,1,0,0,0,180,30,1,0,1,9734
0,1,4,0,0,148,30,1,1,1,6700
0,1,1,0,0,152,30,1,1,1,37719
1,1,0,0,0,175,25,1,0,1,15666
1,1,1,0,0,130,30,1,0,1,4676
1,1,2,0,0,110,30,1,0,1,4652
1,0,0,1,1,55,30,0,0,0,4915
1,0,2,1,1,150,30,0,0,0,5050
0,0,1,1,1,190,30,0,1,0,4311
1,0,2,1,1,125,30,0,0,0,3564
1,1,2,0,0,60,25,1,2,1,3414
1,0,0,1,1,149,30,0,0,0,5681
1,1,0,0,0,90,0,1,0,1,4949
0,1,0,0,0,84,30,1,1,1,7085
1,1,2,0,0,96,30,1,1,1,3859
1,1,0,0,0,118,30,1,2,1,4301
1,0,0,1,1,173,30,0,2,0,6277
0,1,2,0,0,136,30,1,0,1,4354
1,0,0,1,1,160,30,0,1,0,8334
1,1,4,0,0,128,0,1,2,1,7740
1,1,0,0,0,153,30,1,0,1,5203
0,1,1,0,0,132,30,1,1,1,5191
0,0,0,1,1,98,30,0,1,0,4166
0,1,0,0,0,140,30,1,0,1,6000
1,0,4,1,1,70,0,0,2,0,4611
1,1,2,0,0,98,30,1,1,1,3127
1,0,0,1,1,110,30,0,2,0,6784
1,1,1,0,0,162,30,1,1,1,5529
1,0,1,1,1,113,0,0,0,0,4153
1,1,4,0,0,100,30,1,1,1,4691
0,1,0,0,0,93,30,1,2,1,2500
0,1,2,0,0,162,30,1,0,1,10180
1,1,2,0,0,150,30,1,0,1,17539
1,1,2,0,0,230,25,1,1,1,8450
1,1,1,0,0,86,30,1,1,1,18917
1,0,2,1,1,146.41216216216,30,0,2,0,4550
0,1,0,0,0,154,30,1,0,1,4350
1,1,4,0,0,113,30,1,0,1,3095
1,1,0,0,0,128,30,1,1,1,5233
1,1,0,0,0,234,30,1,1,1,10833
1,1,2,0,0,246,30,1,1,1,8333
1,1,1,0,0,131,30,1,0,1,4394
0,0,2,1,1,80,30,0,0,0,3547
1,0,1,1,1,500,30,0,2,0,18333
1,1,2,0,0,160,30,1,1,1,6666
0,0,0,1,1,75,30,0,2,0,2435
0,1,0,0,0,96,30,1,1,1,5484
1,1,1,0,0,186,30,1,2,1,6464
0,1,0,0,0,110,30,1,0,1,3691
0,1,0,0,0,225,30,1,1,1,17263
1,0,0,1,1,119,30,0,0,0,5754
1,1,1,0,0,105,7,1,1,1,4239
1,1,0,0,0,107,30,1,0,1,4300
1,1,0,0,0,111,1,1,2,1,7482
1,1,1,0,0,95,30,1,1,1,2895
0,0,0,1,1,209,30,0,0,0,10699
0,1,0,0,0,113,40,1,0,1,4328
0,1,0,0,0,100,30,1,1,1,3159
1,1,2,0,0,208,30,1,1,1,10489
1,0,1,1,1,138,30,0,0,0,9352
1,1,0,0,0,124,25,1,1,1,5297
1,1,2,0,0,243,30,1,0,1,7926
1,1,0,0,0,480,30,1,2,1,27500
1,1,0,0,0,188,30,1,2,1,5492
0,1,1,0,0,40,30,1,2,1,13262
0,0,0,1,1,100,30,0,0,0,4885
1,1,1,0,0,250,30,1,1,1,8069
1,1,2,0,0,148,30,1,2,1,5318
1,0,0,1,1,70,0,0,1,0,8796
0,0,0,1,1,311,30,0,0,0,9481
1,1,4,0,0,150,30,1,0,1,6894
1,1,2,0,0,113,40,1,1,1,3663
1,0,0,1,1,123,30,0,1,0,4874
0,0,0,1,1,185,30,0,1,0,6598
0,0,0,1,1,95,30,0,0,0,3400
1,1,2,0,0,45,30,1,1,1,3934
0,1,0,0,0,55,30,1,1,1,2500
1,1,4,0,0,100,30,1,0,1,7101
1,1,2,0,0,480,30,1,0,1,15114
0,0,0,1,1,146.41216216216,30,0,1,0,6767
1,1,2,0,0,400,30,1,0,1,17500
1,1,0,0,0,110,30,1,1,1,3775
1,1,1,0,0,161,30,1,1,1,6715
0,1,1,0,0,94,30,1,1,1,3981
0,1,0,0,0,130,30,1,1,1,6783
1,1,0,0,0,216,30,1,0,1,6525
1,1,4,0,0,100,30,1,2,1,4281
0,0,2,1,1,110,30,0,0,0,3588
0,0,1,1,1,196,30,0,1,0,11250
0,1,0,0,0,125,30,1,2,1,18165
0,1,0,0,0,126,30,1,0,1,4592
1,1,0,0,0,324,30,1,2,1,10039
0,1,2,0,0,107,30,1,1,1,3617
1,0,0,1,1,66,30,0,0,0,3453
1,1,4,0,0,157,0,1,0,1,6417
1,1,1,0,0,140,0,1,1,1,7453
0,0,0,1,1,99,30,0,1,0,2138
0,1,1,0,0,95,30,1,1,1,3652
1,1,1,0,0,128,30,1,2,1,4763
1,1,0,0,0,102,30,1,1,1,3680
1,1,0,0,0,155,30,1,0,1,4718
0,0,0,1,1,80,3,0,1,0,3358
0,1,0,0,0,145,30,1,0,1,4309
0,0,0,1,1,103,30,0,1,0,5000
1,1,0,0,0,110,30,1,0,1,4801
1,0,2,1,1,146.41216216216,30,0,0,0,6633
1,1,1,0,0,146.41216216216,30,1,0,1,4867
1,1,1,0,0,158,30,1,2,1,6583
1,0,0,1,1,181,30,0,2,0,4787
1,0,0,1,1,132,0,0,0,0,7859
1,1,1,0,0,26,30,1,1,1,6500
0,1,0,0,0,84,30,1,2,1,4292
1,1,4,0,0,260,30,1,1,1,10139
1,1,0,0,0,162,30,1,1,1,6556
1,1,0,0,0,182,30,1,1,1,6486
1,1,2,0,0,108,30,1,1,1,3917
1,1,1,0,0,600,30,1,1,1,19484
1,1,0,0,0,211,30,1,0,1,7977
0,1,0,0,0,132,30,1,1,1,5800
1,0,2,1,1,258,30,0,2,0,8799
1,1,0,0,0,120,30,1,0,1,4467
0,1,0,0,0,70,30,1,2,1,3333
1,0,4,1,1,123,30,0,0,0,5900
0,0,0,1,1,9,30,0,2,0,2378
1,0,0,1,1,104,30,0,2,0,5230
1,1,1,0,0,186,30,1,2,1,5167
1,0,0,1,1,165,30,0,2,0,6567
1,1,2,0,0,275,30,1,2,1,16666
1,0,2,1,1,187,40,0,1,0,7750
1,0,4,1,1,150,30,0,1,0,6406
1,1,2,0,0,108,7,1,2,1,3620
0,1,0,0,0,110,30,1,2,1,5968
1,1,1,0,0,107,30,1,0,1,4014
0,1,0,0,0,161,30,1,2,1,6099
1,1,2,0,0,205,30,1,1,1,6540
0,0,0,1,1,90,30,0,2,0,35673
1,1,0,0,0,36,30,1,1,1,3166
1,0,1,1,1,61,30,0,0,0,1880
1,0,1,1,1,146,30,0,0,0,4704
1,0,1,1,1,172,7,0,0,0,7283
1,1,0,0,0,104,30,1,2,1,3819
0,1,0,0,0,70,30,1,1,1,2165
1,0,2,1,1,106,30,0,1,0,2726
1,1,0,0,0,56,0,1,1,1,6416
1,0,2,1,1,205,20,0,1,0,6000
1,1,0,0,0,142,0,1,0,1,7159
1,1,0,0,0,260,30,1,2,1,16120
0,1,0,0,0,110,30,1,0,1,3833
1,0,2,1,1,187,30,0,0,0,7383
0,0,0,1,1,88,30,0,1,0,2987
1,1,0,0,0,180,30,1,0,1,9963
1,1,2,0,0,192,30,1,2,1,5780
0,0,4,1,1,350,0,0,2,0,42083
1,1,0,0,0,155,30,1,0,1,5686
1,1,4,0,0,128,30,1,2,1,5703
0,1,0,0,0,172,30,1,0,1,7977
1,1,1,0,0,496,30,1,1,1,12000
1,0,0,1,1,146.41216216216,0,0,2,0,6200
1,1,1,0,0,173,30,1,1,1,5900
1,1,2,0,0,157,30,1,0,1,5398
1,1,0,0,0,108,30,1,0,1,5182
